model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
8,SLSQP,[0.16727985 0.1909834  0.13820089],[0.15517591 0.18275228 0.13279504],5.398101026491719,[0.10040248 0.0101909  0.07001103],90.45697275513395,0.15028738975524902
8,SLSQP,[0.1864629  0.13616006 0.13305214],[0.17797854 0.13125796 0.13021244],3.828415003285901,[0.11083102 0.01893407 0.0930258 ],45.86617003921722,0.154099702835083
8,SLSQP,[0.29706482 0.0196839  0.01198285],[0.19286213 0.04163083 0.04748491],37.6734865620456,[0.09622614 0.06820241 0.0911566 ],9.352331840745112,0.10360360145568848
8,SLSQP,[0.22683104 0.08751721 0.08326186],[0.19663224 0.08733175 0.07532406],12.15031610113481,[0.07678845 0.08144644 0.02618688],20.408792816796325,0.12691259384155273
8,SLSQP,[0.09985761 0.04174361 0.02474132],[0.09985752 0.04174361 0.02474133],8.171438487137595e-05,[0.09378916 0.00841266 0.05886718],4.873962650042408,0.6956257820129395
8,SLSQP,[0.2332135  0.09967351 0.02116132],[0.19998849 0.09985374 0.02138712],13.05541771792523,[0.08397943 0.09993307 0.0219626 ],0.0001245355390245114,0.2290976047515869
8,SLSQP,[0.15807834 0.16284046 0.15300484],[0.15756748 0.16254041 0.15274395],0.2365148086985672,[0.09323763 0.00713994 0.0585994 ],90.47781417624384,0.1984555721282959
8,SLSQP,[0.21179365 0.14062637 0.08758639],[0.1903434  0.13270599 0.08497914],8.558775883616025,[0.0456748  0.07126187 0.06554951],14.198810211337388,0.1339430809020996
8,SLSQP,[0.02090948 0.16003955 0.15206133],[0.02090946 0.16003946 0.15206141],5.265463667968135e-05,[0.11955553 0.04367721 0.04864934],89.710423389062,0.7178521156311035
8,SLSQP,[0.26243535 0.03025663 0.10026795],[0.19998705 0.02991801 0.09847596],22.110142748564858,[0.05559559 0.01929525 0.06143106],41.874127600351436,0.10507845878601074
8,SLSQP,[0.05887068 0.04046082 0.08533472],[0.05887075 0.04046085 0.08533468],7.562305887585873e-05,[0.01987966 0.01574826 0.08709823],30.73228763162919,0.648723840713501
8,SLSQP,[0.12004566 0.0920213  0.23003701],[0.12004554 0.09202118 0.23003693],7.011527374907036e-05,[0.04154732 0.06533378 0.01390876],70.7749615064493,0.8298285007476807
8,SLSQP,[0.13693101 0.17196819 0.15868596],[0.13693052 0.17196776 0.15868595],0.0002390900424725896,[0.09488622 0.08490116 0.05261331],34.554953035177824,0.7923994064331055
8,SLSQP,[0.01333061 0.17084526 0.12506093],[0.01333064 0.17084524 0.125061  ],3.586514606059195e-05,[3.54546442e-02 3.00293710e-02 8.45045117e-05],99.99996317192397,0.3187906742095947
8,SLSQP,[0.07221586 0.20681948 0.0022738 ],[0.07221384 0.20681953 0.00227454],0.0009836537068570765,[0.06310131 0.00498028 0.03225523],90.60617228497586,1.110541582107544
8,SLSQP,[0.25942674 0.07255028 0.03367087],[0.19881147 0.07674724 0.04179767],22.58076248037893,[0.03026227 0.0664148  0.05161388],18.441070382383607,0.1028292179107666
8,SLSQP,[0.17776828 0.14090219 0.05988765],[0.17776774 0.14090222 0.05988825],0.00034423716939648637,[0.12542774 0.03618407 0.02753728],45.117181556616295,0.6103484630584717
8,SLSQP,[0.03698766 0.26630259 0.12583299],[0.03698746 0.26630216 0.12583292],0.0001624356019158367,[0.07081367 0.08320709 0.08454982],51.512219457099896,0.3842103481292725
8,SLSQP,[0.08114487 0.19568049 0.01383084],[0.08114378 0.19568064 0.0138308 ],0.0005198064689382074,[0.01003864 0.09822691 0.05307737],11.661454902249124,1.061509370803833
8,SLSQP,[0.10920248 0.17205805 0.10577622],[0.10920259 0.17205802 0.10577631],6.262621749827959e-05,[0.07981057 0.01087377 0.08975297],43.79776044620662,0.9333293437957764
8,SLSQP,[0.00598329 0.17572751 0.13353587],[0.00598326 0.17572733 0.13353595],9.223399733551364e-05,[0.1072564  0.09176792 0.00846431],94.7463905763848,0.9347736835479736
8,SLSQP,[0.236532   0.16435692 0.05854119],[0.19075528 0.14656604 0.05070728],16.920795830813596,[0.08073131 0.09346835 0.0268244 ],12.650973880802194,0.11477303504943848
8,SLSQP,[0.02947542 0.09103728 0.12645147],[0.02947558 0.09103723 0.12645148],0.00010713967201406994,[0.01274515 0.05676334 0.0663492 ],74.02065354019122,0.8719730377197266
8,SLSQP,[0.00457004 0.00659497 0.19894337],[0.00457006 0.00659506 0.19894324],8.112556011446255e-05,[0.06103304 0.08818962 0.00406044],99.9996479318142,0.3353242874145508
