,model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
0,modello_8.urdf,SLSQP,[0.07622568 0.27390425 0.03485314],[0.07622396 0.27390384 0.03485332],0.0006207599589985928,[0.14241961 0.0272378  0.01816367],-1,0.1027076244354248
1,modello_8.urdf,SLSQP,[0.00988186 0.29460055 0.03243806],[0.00988136 0.29460209 0.03244099],0.0011287196538208126,[0.02107551 0.02385433 0.02589807],-1,0.09852766990661621
2,modello_8.urdf,SLSQP,[0.24349866 0.02028419 0.0394173 ],[0.19327426 0.02914165 0.0568383 ],21.774784379411336,[0.04111439 0.09528851 0.08128486],-1,0.07182502746582031
3,modello_8.urdf,SLSQP,[0.27813982 0.094722   0.04468068],[0.19999997 0.09350293 0.04422851],26.295269676240814,[8.09902224e-02 5.47189490e-05 9.20211263e-02],-1,0.06296968460083008
4,modello_8.urdf,SLSQP,[0.18739384 0.081305   0.15930538],[0.18437624 0.08072471 0.15817165],1.2643897738419834,[0.04395385 0.08483532 0.0871033 ],-1,0.06674718856811523
5,modello_8.urdf,SLSQP,[0.02376041 0.26107108 0.09333359],[0.02375919 0.26107321 0.09333313],0.0009008212460457252,[0.12000931 0.02881905 0.04351104],-1,0.08888387680053711
6,modello_8.urdf,SLSQP,[0.02472683 0.04484288 0.10280319],[0.02472643 0.04484261 0.102804  ],0.0008208410040814785,[0.03593743 0.09337907 0.01024307],-1,0.1094362735748291
7,modello_8.urdf,SLSQP,[0.13380326 0.10138046 0.03805736],[0.13380496 0.10138033 0.03805759],0.0010024024939127327,[0.0510751  0.02005936 0.03189384],-1,0.11111783981323242
8,modello_8.urdf,SLSQP,[0.01476581 0.26451007 0.02720009],[0.01476661 0.26450915 0.02720009],0.00045754825483890476,[0.00960788 0.13013451 0.05375645],-1,0.11154484748840332
9,modello_8.urdf,SLSQP,[0.0861489  0.13399478 0.0872013 ],[0.08614873 0.13399453 0.08720039],0.0005262809922543543,[0.05080429 0.12896292 0.03055945],-1,0.12244749069213867
10,modello_8.urdf,SLSQP,[0.08431906 0.27785223 0.06745254],[0.08262083 0.27420309 0.06656814],1.3824270481399672,[0.03801604 0.09702475 0.07392844],-1,0.07127833366394043
