,model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
0,d,L-BFGS-B,[0.51696152 0.43217149 1.31262176],[0.51696152 0.43217149 1.31262177],4.3076879376542757e-07,[0.44998055 0.57804768 0.0986264 ],-1,3.3004562854766846
1,d,L-BFGS-B,[0.30571947 1.14174847 0.56657123],[0.30571947 1.14174849 0.56657125],2.2839420530267644e-06,[0.37589774 0.25857647 0.46828868],-1,8.183531761169434
2,d,L-BFGS-B,[0.74462693 0.44863158 0.9026292 ],[0.74462693 0.44863158 0.9026292 ],4.593609999122268e-07,[0.13135139 0.5762454  0.11886072],-1,3.4095170497894287
3,d,L-BFGS-B,[0.16867271 0.60315383 1.17416437],[0.1686727  0.60315384 1.17416437],4.962978218164071e-07,[0.4731975  0.42437474 0.33069301],-1,3.3492448329925537
4,d,L-BFGS-B,[0.62514202 0.12553118 0.81778827],[0.62514196 0.12553122 0.81778834],1.0261605398469756e-05,[0.61736216 0.41200859 0.02798403],-1,3.414241075515747
5,d,L-BFGS-B,[0.53552473 1.08032168 0.53484093],[0.53552474 1.08032157 0.53484085],9.8648525172831e-06,[0.24596973 0.02228433 0.21250166],-1,5.631051063537598
6,d,L-BFGS-B,[0.15527289 0.41192013 0.70249004],[0.15527289 0.41192013 0.70249004],5.952936722846129e-07,[0.34764631 0.16193365 0.10927585],-1,3.5553081035614014
7,d,L-BFGS-B,[0.55874587 0.94892161 0.66849705],[0.55874589 0.94892172 0.66849714],1.1647285197087447e-05,[0.52949412 0.264608   0.21070367],-1,4.70860743522644
8,d,L-BFGS-B,[1.00531303 0.40356866 0.02806582],[0.81834488 0.34663216 0.02410675],18.03943542027541,[0.49055019 0.00166681 0.3770084 ],-1,3.7812392711639404
9,d,L-BFGS-B,[1.34763503 0.15257792 0.16115135],[1.26814105 0.1475982  0.15596401],5.844148920214398,[0.16970321 0.19820818 0.0517247 ],-1,9.740525007247925
10,d,TNC,[0.51696152 0.43217149 1.31262176],[0.51697107 0.43215991 1.31262077],0.0010196372916590959,[0.44998055 0.57804768 0.0986264 ],-1,14.690253496170044
11,d,TNC,[0.30571947 1.14174847 0.56657123],[0.30571947 1.14174847 0.56657123],2.016615180871451e-07,[0.37589774 0.25857647 0.46828868],-1,9.236850261688232
12,d,TNC,[0.74462693 0.44863158 0.9026292 ],[0.74462693 0.44863158 0.90262921],8.212670564322092e-07,[0.13135139 0.5762454  0.11886072],-1,13.687677383422852
13,d,TNC,[0.16867271 0.60315383 1.17416437],[0.16867271 0.60315383 1.17416437],4.2550269026078446e-07,[0.4731975  0.42437474 0.33069301],-1,12.40550947189331
14,d,TNC,[0.62514202 0.12553118 0.81778827],[0.62514202 0.12553118 0.81778827],3.530206725405319e-07,[0.61736216 0.41200859 0.02798403],-1,8.80475378036499
15,d,TNC,[0.53552473 1.08032168 0.53484093],[0.53552473 1.08032168 0.53484092],3.394810173189189e-07,[0.24596973 0.02228433 0.21250166],-1,5.101638078689575
16,d,TNC,[0.15527289 0.41192013 0.70249004],[0.15527289 0.41192013 0.70249004],7.995767028237997e-07,[0.34764631 0.16193365 0.10927585],-1,7.411420583724976
17,d,TNC,[0.55874587 0.94892161 0.66849705],[0.55874587 0.94892161 0.66849705],1.49097507637764e-07,[0.52949412 0.264608   0.21070367],-1,9.83734393119812
18,d,TNC,[1.00531303 0.40356866 0.02806582],[0.80489539 0.33466599 0.03381505],19.564250307171942,[0.49055019 0.00166681 0.3770084 ],-1,14.56550908088684
19,d,TNC,[1.34763503 0.15257792 0.16115135],[0.96493742 0.1465     0.17688682],28.047537447834447,[0.16970321 0.19820818 0.0517247 ],-1,14.835925817489624
20,d,SLSQP,[0.51696152 0.43217149 1.31262176],[0.51695892 0.43217093 1.3126226 ],0.00018837613736175205,[0.44998055 0.57804768 0.0986264 ],-1,1.0685713291168213
21,d,SLSQP,[0.30571947 1.14174847 0.56657123],[0.30571868 1.14174574 0.56657103],0.00021713983288288715,[0.37589774 0.25857647 0.46828868],-1,1.2039568424224854
