,model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
0,modello_8.urdf,trac-ik,"0    0.237514
1    0.175318
2    0.000088
Name: 0, dtype: float64",[0 0 0],100.0,,-1,0.005245208740234375
1,modello_8.urdf,trac-ik,"0    0.256522
1    0.116386
2    0.007637
Name: 1, dtype: float64",[0 0 0],100.0,,-1,0.005278110504150391
2,modello_8.urdf,trac-ik,"0    0.096718
1    0.206493
2    0.176014
Name: 2, dtype: float64",[0.09671727 0.20649213 0.17601354],0.00040386150434957983,,-1,0.0004360675811767578
3,modello_8.urdf,trac-ik,"0    0.011123
1    0.264498
2    0.010627
Name: 3, dtype: float64",[0.01112276 0.26449777 0.01062671],3.918405453782922e-05,,-1,0.0010135173797607422
4,modello_8.urdf,trac-ik,"0    0.174204
1    0.012266
2    0.180982
Name: 4, dtype: float64",[0.17420444 0.01226583 0.18098153],3.10697215844283e-06,,-1,0.0004475116729736328
5,modello_8.urdf,trac-ik,"0    0.015047
1    0.141520
2    0.241025
Name: 5, dtype: float64",[0.01504666 0.14152004 0.24102452],9.790282651464142e-06,,-1,0.00033974647521972656
6,modello_8.urdf,trac-ik,"0    0.116699
1    0.264551
2    0.022779
Name: 6, dtype: float64",[0 0 0],100.0,,-1,0.005209207534790039
7,modello_8.urdf,trac-ik,"0    0.236153
1    0.037079
2    0.123341
Name: 7, dtype: float64",[0 0 0],100.0,,-1,0.005210161209106445
8,modello_8.urdf,trac-ik,"0    0.079531
1    0.026923
2    0.019385
Name: 8, dtype: float64",[0 0 0],100.0,,-1,0.00519561767578125
9,modello_8.urdf,trac-ik,"0    0.146249
1    0.211056
2    0.083118
Name: 9, dtype: float64",[0.14624885 0.21105578 0.0831185 ],3.2023789034494626e-06,,-1,0.0005035400390625
10,modello_8.urdf,trac-ik,"0    0.087204
1    0.213503
2    0.147274
Name: 10, dtype: float64",[0.08720388 0.213503   0.14727423],3.364894387791638e-06,,-1,0.00034499168395996094
11,modello_8.urdf,trac-ik,"0    0.100757
1    0.114714
2    0.038352
Name: 11, dtype: float64",[0 0 0],100.0,,-1,0.005200624465942383
12,modello_8.urdf,trac-ik,"0    0.012374
1    0.157038
2    0.101492
Name: 12, dtype: float64",[0 0 0],100.0,,-1,0.005196809768676758
13,modello_8.urdf,trac-ik,"0    0.119212
1    0.196569
2    0.085973
Name: 13, dtype: float64",[0.11920952 0.19656639 0.08597126],0.0014018184087542132,,-1,0.0005309581756591797
14,modello_8.urdf,trac-ik,"0    0.028872
1    0.164337
2    0.111479
Name: 14, dtype: float64",[0 0 0],100.0,,-1,0.005199909210205078
15,modello_8.urdf,trac-ik,"0    0.148328
1    0.246547
2    0.002643
Name: 15, dtype: float64",[0 0 0],100.0,,-1,0.005196094512939453
16,modello_8.urdf,trac-ik,"0    0.275307
1    0.048750
2    0.098116
Name: 16, dtype: float64",[0 0 0],100.0,,-1,0.005210399627685547
17,modello_8.urdf,trac-ik,"0    0.253217
1    0.132598
2    0.063934
Name: 17, dtype: float64",[0 0 0],100.0,,-1,0.005223989486694336
18,modello_8.urdf,trac-ik,"0    0.100209
1    0.186073
2    0.146704
Name: 18, dtype: float64",[0.10020872 0.1860726  0.14670399],2.4787706288127824e-06,,-1,0.0005242824554443359
19,modello_8.urdf,trac-ik,"0    0.116670
1    0.040521
2    0.097456
Name: 19, dtype: float64",[0 0 0],100.0,,-1,0.005341529846191406
20,modello_8.urdf,trac-ik,"0    0.053321
1    0.020795
2    0.058442
Name: 20, dtype: float64",[0 0 0],100.0,,-1,0.005202054977416992
21,modello_8.urdf,trac-ik,"0    0.174385
1    0.055692
2    0.142324
Name: 21, dtype: float64",[0.17437829 0.05569244 0.14232321],0.0030728333324509375,,-1,0.0005462169647216797
22,modello_8.urdf,trac-ik,"0    0.013137
1    0.063577
2    0.142784
Name: 22, dtype: float64",[0.01313739 0.06358253 0.14279374],0.007140589215472774,,-1,0.003850698471069336
23,modello_8.urdf,trac-ik,"0    0.178435
1    0.139814
2    0.054469
Name: 23, dtype: float64",[0.17843533 0.13981392 0.05446916],3.956709926972294e-06,,-1,0.001569509506225586
24,modello_8.urdf,trac-ik,"0    0.101142
1    0.018259
2    0.099887
Name: 24, dtype: float64",[0 0 0],100.0,,-1,0.005158662796020508
25,modello_8.urdf,trac-ik,"0    0.187965
1    0.057730
2    0.220527
Name: 25, dtype: float64",[0 0 0],100.0,,-1,0.005185842514038086
26,modello_8.urdf,trac-ik,"0    0.043452
1    0.091834
2    0.054281
Name: 26, dtype: float64",[0 0 0],100.0,,-1,0.005208730697631836
27,modello_8.urdf,trac-ik,"0    0.056793
1    0.137140
2    0.019825
Name: 27, dtype: float64",[0 0 0],100.0,,-1,0.00522613525390625
28,modello_8.urdf,trac-ik,"0    0.080046
1    0.136340
2    0.253026
Name: 28, dtype: float64",[0 0 0],100.0,,-1,0.005217075347900391
29,modello_8.urdf,trac-ik,"0    0.025357
1    0.292213
2    0.056706
Name: 29, dtype: float64",[0.02535681 0.29221086 0.05670623],0.0006667806058097746,,-1,0.00047397613525390625
30,modello_8.urdf,trac-ik,"0    0.223738
1    0.151916
2    0.085816
Name: 30, dtype: float64",[0 0 0],100.0,,-1,0.005193948745727539
31,modello_8.urdf,trac-ik,"0    0.083744
1    0.250319
2    0.141898
Name: 31, dtype: float64",[0 0 0],100.0,,-1,0.005233049392700195
32,modello_8.urdf,trac-ik,"0    0.188088
1    0.189309
2    0.125105
Name: 32, dtype: float64",[0 0 0],100.0,,-1,0.0052149295806884766
33,modello_8.urdf,trac-ik,"0    0.034081
1    0.274415
2    0.052333
Name: 33, dtype: float64",[0.03408052 0.27441484 0.05233312],1.1058323337481693e-06,,-1,0.0005314350128173828
34,modello_8.urdf,trac-ik,"0    0.196132
1    0.042846
2    0.123677
Name: 34, dtype: float64",[0.19613053 0.04284559 0.12367775],0.0008986669493185683,,-1,0.00042128562927246094
35,modello_8.urdf,trac-ik,"0    0.203204
1    0.042666
2    0.199364
Name: 35, dtype: float64",[0 0 0],100.0,,-1,0.00520014762878418
36,modello_8.urdf,trac-ik,"0    0.243894
1    0.133194
2    0.026993
Name: 36, dtype: float64",[0 0 0],100.0,,-1,0.005203723907470703
37,modello_8.urdf,trac-ik,"0    0.041295
1    0.036007
2    0.065153
Name: 37, dtype: float64",[0 0 0],100.0,,-1,0.0052225589752197266
38,modello_8.urdf,trac-ik,"0    0.086062
1    0.198523
2    0.118012
Name: 38, dtype: float64",[0.08606031 0.19852175 0.11801155],0.000804158615179529,,-1,0.0004322528839111328
39,modello_8.urdf,trac-ik,"0    0.007476
1    0.174571
2    0.140090
Name: 39, dtype: float64",[0.00747673 0.17458057 0.14008347],0.005248108316930208,,-1,0.0008344650268554688
40,modello_8.urdf,trac-ik,"0    0.192827
1    0.017703
2    0.185221
Name: 40, dtype: float64",[0 0 0],100.0,,-1,0.005186557769775391
