,,main_point_error (%),main_point_error (%),main_point_error (%),main_point_error (%),main_point_error (%),main_point_error (%),main_point_error (%),main_point_error (%),middle_point_error (%),middle_point_error (%),middle_point_error (%),middle_point_error (%),middle_point_error (%),middle_point_error (%),middle_point_error (%),middle_point_error (%),time,time,time,time,time,time,time,time
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
model,method,,,,,,,,,,,,,,,,,,,,,,,,
8,COBYLA,200.0,4.507752615334647,8.633180563487292,0.002217486758720767,0.01148901641988752,0.04546752418845883,4.58349233617936,36.972559580684134,200.0,58.12361992216421,30.095944087437733,0.007657103621851955,31.737570556294617,59.41693855459005,88.80151850046033,99.9999614476257,200.0,0.5484025633335113,0.3616247593180549,0.10285758972167967,0.20931875705718994,0.4671776294708252,0.8548694252967834,1.1743323802947998
8,SLSQP,200.0,7.260729065547561,23.683406711602835,8.427651809299911e-06,0.00010902879794688191,0.0010406589991059584,5.905008537844436,278.76577829882655,200.0,49.84286447942785,31.854981665570676,6.0399895593234694e-05,20.32238867816988,45.58448010942195,76.50542428054283,99.99996317192397,200.0,0.49769038438797,0.37536823432862526,0.09195923805236816,0.1460579037666321,0.35197365283966064,0.8360074162483215,1.2735068798065186
16,COBYLA,200.0,2.358674262026891,3.3437876672378977,0.0008606296061069941,0.014871678564204542,0.2046754884397598,4.357881778709439,14.549785813936133,200.0,46.721458017356255,25.733439863235184,0.0034426033943020405,25.209937157665717,45.828691265361535,65.94033170987585,99.99943025896485,200.0,1.7006993687152863,0.7261671361802471,0.3570749759674072,0.9322143197059631,2.0794525146484375,2.333252787590027,2.6653850078582764
16,SLSQP,200.0,4.844018256830008,9.445314701562545,8.667038620129849e-06,0.00010760252831767215,0.0018287813682463783,4.96737353443115,35.95112167245804,200.0,30.076979280310766,26.79665457996013,4.486297066156914e-06,5.481149502842004,24.273604932757767,51.96427792633099,99.99809834733584,200.0,2.1568907570838927,1.228716782587868,0.5068879127502441,1.0752463936805727,1.761106014251709,3.3512351512908944,4.419963359832764
24,COBYLA,200.0,3.6229643948167585,4.859108973611861,0.0016646650569703744,0.016380539252980414,0.9205506929621391,6.280166483774759,19.8530245989022,200.0,48.67910298052453,26.565140245510875,0.003060882988551006,27.00383472076058,46.33166753923091,69.57204548488767,99.99998774731085,200.0,2.6782779252529143,0.8089746504684943,0.8564436435699463,2.0514578223228455,2.99749493598938,3.2153246998786926,3.7607450485229488
24,SLSQP,200.0,3.124707019140012,6.049065191862423,1.0863436768805733e-05,0.00010053941323141329,0.0003087852496668911,3.4065930317318167,25.166784087145142,200.0,27.149980731718102,26.88902910733709,1.3477830608007414e-05,0.0027191048899490376,19.472527632425788,47.66569043466585,99.99994270358324,200.0,4.562149542570114,2.202116598004667,1.6136877536773682,2.8053566217422485,3.7720972299575815,6.794019460678101,9.380842924118044
32,COBYLA,200.0,4.164131446383742,6.028823348928064,0.00098104807691507,0.01055531777242395,0.9470517566621108,6.524655671652455,27.047538204459272,200.0,50.60830750382511,27.101355940385282,0.01999177385531809,30.135139828110987,51.59794814502092,73.37751557952237,99.99981384758199,200.0,3.5923839366436003,1.09988321441925,1.3576467037200928,2.9065825939178467,3.8949704170227046,4.062991082668304,6.402961254119872
32,SLSQP,200.0,1.681938096857759,3.902003070999308,2.4693780246846515e-05,0.00016533629912128655,0.004146151233529092,0.4623462436903013,27.61851483505259,200.0,24.077672547034886,25.643150003560276,6.909428030628607e-06,0.0029144088977454026,16.122011387108756,39.15948768681867,98.46651413403376,200.0,10.618751549720765,3.845918741994524,3.3839905261993413,6.834760367870333,11.018121004104614,14.075206935405731,19.911911249160767
40,COBYLA,200.0,5.52104168561084,7.579762462325035,0.0013937033776123358,0.009218972980159038,1.6520714145324626,8.948347989181116,27.91401328561793,200.0,54.36453848331141,26.263675140832063,0.2793871480453245,35.8159818199611,57.07978046948095,74.30260534360809,99.99999956084689,200.0,4.454597936868668,1.1015983750480127,2.1931076049804688,3.224644958972931,5.053210020065308,5.180144786834717,5.650077819824219
40,SLSQP,200.0,1.2972223032402683,3.452411947792158,1.4561977749709381e-05,0.0001586661455481114,0.002227470448354682,0.03412721912617844,24.679445624143682,200.0,26.437366096749603,25.262270376354067,2.544891466681465e-05,0.002911801512498104,22.139342383704207,43.396753320381336,99.99996477803322,200.0,15.343287192583084,5.219791279801468,5.1898415088653564,9.864664733409882,16.708251237869263,19.986374378204342,23.529254913330078
48,COBYLA,200.0,6.884520050777236,9.012453402084521,0.0003658904881110877,0.013353110724758643,2.677190103805495,10.826385951295778,38.126324031163115,200.0,53.83575198804553,27.217255739160592,0.004296481460723658,32.12382966380808,55.04197775771682,73.29669343535335,99.99999510811227,200.0,5.180438805818557,1.0197531928119152,2.85489821434021,4.439544260501862,5.769293785095215,5.783604741096497,5.84388279914856
48,SLSQP,200.0,1.3475389029164107,3.19872981759683,1.3763448244469117e-05,0.00017260667763112489,0.004082889227902658,0.5501639768620754,17.000627827674407,200.0,29.22311820976261,26.519811402570795,8.586214052342807e-05,3.781037646628227,24.551398602886913,49.335573537784875,99.79461729188853,200.0,25.54439965248108,7.971203943511278,8.236145734786987,18.6567405462265,28.774308800697334,31.095323383808136,49.00964093208313
